Query path,AP,AP@20,AP@100,AP@500,AP@1000
./image_query/all_souls_1_query.jpg,0.2113791007288818,0.6924458874458874,0.5540804950416124,0.3419870906369968,0.2686501260347986
./image_query/all_souls_2_query.jpg,0.2107565302210316,0.8788919413919414,0.6124750401716927,0.40213862723990745,0.29834839616841524
./image_query/all_souls_3_query.jpg,0.2701381594617626,0.9103846000275955,0.7870893549238966,0.4567748078749395,0.33938440600850517
./image_query/all_souls_4_query.jpg,0.1413296347766103,0.5603174603174603,0.3108949047140091,0.2334262625833298,0.19552197448758757
./image_query/all_souls_5_query.jpg,0.032768812867208834,0.0,0.04025121020194912,0.030762638546713728,0.025263481517417932
./image_query/ashmolean_1_query.jpg,0.10242170037810831,0.44949494949494956,0.24227255923857222,0.14114120482654402,0.12364285625042935
./image_query/ashmolean_2_query.jpg,0.017554746551350225,0.0,0.04189814814814815,0.027893408121968038,0.022821508430062948
./image_query/ashmolean_3_query.jpg,0.022277512710126325,0.0,0.0,0.025399505508788302,0.024794437423852768
./image_query/ashmolean_4_query.jpg,0.44146595689595935,0.8888509151667047,0.6444416183231974,0.5210037934588594,0.4866652206041971
./image_query/ashmolean_5_query.jpg,0.13773910375104642,0.6083333333333333,0.3045542588649717,0.18381898296031104,0.1611584926372616
./image_query/balliol_1_query.jpg,0.28968995811255843,0.7718253968253967,0.5596480566134565,0.4307245612711343,0.4307245612711343
./image_query/balliol_2_query.jpg,0.15957310904654676,0.49935897435897436,0.29896283288223485,0.23555287759502241,0.23555287759502241
./image_query/balliol_3_query.jpg,0.01200969124218071,0.0,0.0,0.010563432743268533,0.01314834300268124
./image_query/balliol_4_query.jpg,0.18566402543222693,0.6458333333333334,0.4333814606923851,0.2730945257906241,0.23667326703005223
./image_query/balliol_5_query.jpg,0.018910267478074682,0.0,0.0,0.023533607359603588,0.023533607359603588
./image_query/bodleian_1_query.jpg,0.16056277378488784,0.45107017165840696,0.36935235231041585,0.23525183548949907,0.17064480207307953
./image_query/bodleian_2_query.jpg,0.025698101842911596,0.0,0.05029159437054174,0.03846206881036443,0.031849642657324165
./image_query/bodleian_3_query.jpg,0.20378152634206687,0.6639455782312925,0.5161094819159335,0.29124712243997625,0.2246395569336962
./image_query/bodleian_4_query.jpg,0.4209115452495943,0.9267857142857142,0.6735248434146811,0.5210030152815674,0.5015733319058477
./image_query/bodleian_5_query.jpg,0.4737925757440078,0.8742127755285649,0.711026775795916,0.5857780707842464,0.5438697283906266
./image_query/christ_church_1_query.jpg,0.24522312306910854,0.8596602471602472,0.6284856702404001,0.39291766761751623,0.3152083039395414
./image_query/christ_church_2_query.jpg,0.16560641236435852,0.5116296897546897,0.39848681504163425,0.28970453197375007,0.21740425990303097
./image_query/christ_church_3_query.jpg,0.04542625609731212,0.0,0.02456008044243338,0.036969571735450416,0.0400155889708042
./image_query/christ_church_4_query.jpg,0.15774093381541845,0.7,0.23224253057104388,0.21015824100321856,0.19144812902496455
./image_query/christ_church_5_query.jpg,0.11237450520224619,0.4848484848484848,0.2587950497808641,0.1690817485404396,0.14733591403523114
./image_query/cornmarket_1_query.jpg,0.12561146452912336,0.2916208791208791,0.2477417972098823,0.17642534380474129,0.14692747423941882
./image_query/cornmarket_2_query.jpg,0.12611494121802047,0.44949494949494956,0.3056026074418718,0.22643616255866741,0.16218359200718627
./image_query/cornmarket_3_query.jpg,0.22406515264856564,0.5630952380952381,0.34130077725359975,0.24098144103108388,0.22406515264856564
./image_query/cornmarket_4_query.jpg,0.2772316283791024,0.7152777777777777,0.4364818876054636,0.325844661736953,0.325844661736953
./image_query/cornmarket_5_query.jpg,0.421862235937744,0.8766666666666666,0.5335139980096375,0.45529511172004944,0.421862235937744
./image_query/hertford_1_query.jpg,0.33577242565583837,0.6133986928104576,0.49181455511422423,0.3836830573666106,0.3572520189579208
./image_query/hertford_2_query.jpg,0.4262589453841937,1.0,0.732199111635598,0.5175985323296802,0.46917351420479325
./image_query/hertford_3_query.jpg,0.650285111236636,1.0,0.9276102599076541,0.7656998275293606,0.705463715790561
./image_query/hertford_4_query.jpg,0.5848110963299392,1.0,0.9023816786019956,0.7453386763703871,0.6927652000311388
./image_query/hertford_5_query.jpg,0.1509543600264511,0.23888888888888885,0.25284660540166914,0.18537496129746292,0.1704977728790233
./image_query/keble_1_query.jpg,0.013336591514171681,0.0,0.011111111111111112,0.015939884909843247,0.014965729235013044
./image_query/keble_2_query.jpg,0.013054079177787016,0.0,0.010309278350515464,0.016333871616693627,0.016333871616693627
./image_query/keble_3_query.jpg,0.021444935072743445,0.0,0.038838612368024134,0.02836460773595431,0.024268778395530658
./image_query/keble_4_query.jpg,0.002041848625456703,0.0,0.0,0.0,0.0017793076134563412
./image_query/keble_5_query.jpg,0.016759696141088385,0.07692307692307693,0.05295429208472687,0.03468281279139564,0.023028145772113272
./image_query/magdalen_1_query.jpg,0.06555361144516599,0.6222222222222222,0.43527352277352277,0.1434963758032969,0.10153541377374124
./image_query/magdalen_2_query.jpg,0.13346524353351585,0.8069470212327357,0.44233946123611206,0.2792072460348356,0.2195230402089626
./image_query/magdalen_3_query.jpg,0.05640882169995666,0.45138888888888884,0.2630328032113746,0.10933079541003343,0.08016953572750468
./image_query/magdalen_4_query.jpg,0.081198972824139,0.4692982456140351,0.2695896034817766,0.1288815393177524,0.10713297941217269
./image_query/magdalen_5_query.jpg,0.14303488538338435,0.818174178762414,0.6097739661256558,0.31601737994137014,0.24745379529345496
./image_query/pitt_rivers_1_query.jpg,0.6298613488354909,1.0,1.0,0.8382113821138212,0.719471924080332
